Apple_scab,caused_by_pathogen,Venturia_inaequalis
Apple_scab,caused_by_pathogen,Ascomycete_fungus
Black_rot_apple,caused_by_pathogen,Botryosphaeria_obtusa
Cedar_apple_rust,caused_by_pathogen,Gymnosporangium_juniperi
Cercospora_leaf_spot,caused_by_pathogen,Cercospora_zeae_maydis
Cercospora_leaf_spot,caused_by_pathogen,Fungal_pathogen
Cherry_Powdery_mildew,caused_by_pathogen,Podosphaera_clandestina
Common_rust_corn,caused_by_pathogen,Puccinia_sorghi
Early_blight_potato,caused_by_pathogen,Alternaria_solani
Early_blight_potato,caused_by_pathogen,Fungal_pathogen
Esca_black_measles,caused_by_pathogen,Phaeomoniella_chlamydospora
Grape_Black_rot,caused_by_pathogen,Guignardia_bidwellii
Grape_Black_rot,caused_by_pathogen,Fungal_pathogen
Grape_leaf_blight,caused_by_pathogen,Isariopsis_clavispora
Huanglongbing,caused_by_pathogen,Candidatus_Liberibacter
Huanglongbing,caused_by_pathogen,Phloem_limited_bacteria
Late_blight_potato,caused_by_pathogen,Phytophthora_infestans
Late_blight_potato,caused_by_pathogen,Oomycete_pathogen
Northern_leaf_blight,caused_by_pathogen,Exserohilum_turcicum
Northern_leaf_blight,caused_by_pathogen,Fungal_pathogen
Peach_bacterial_spot,caused_by_pathogen,Xanthomonas_arbicola
Peach_bacterial_spot,caused_by_pathogen,Gram_negative_bacteria
Pepper__bell___Bacterial_spot,caused_by_pathogen,Xanthomonas_campestris
Pepper__bell___Bacterial_spot,caused_by_pathogen,Gram_negative_bacteria
Pepper__bell___healthy,caused_by_pathogen,None
Pepper_bacterial_spot,caused_by_pathogen,Xanthomonas_campestris
Pepper_bacterial_spot,caused_by_pathogen,Gram_negative_bacteria
Potato___Early_blight,caused_by_pathogen,Alternaria_solani
Potato___Early_blight,caused_by_pathogen,Fungal_pathogen
Potato___healthy,caused_by_pathogen,None
Potato___Late_blight,caused_by_pathogen,Phytophthora_infestans
Potato___Late_blight,caused_by_pathogen,Oomycete_pathogen
Squash_powdery_mildew,caused_by_pathogen,Erysiphe_cichoracearum
Squash_powdery_mildew,caused_by_pathogen,Obligate_parasite
Strawberry_leaf_scorch,caused_by_pathogen,Diplocarpon_earliana
Strawberry_leaf_scorch,caused_by_pathogen,Fungal_pathogen
Tomato__Target_Spot,caused_by_pathogen,Corynespora_cassiicola
Tomato__Target_Spot,caused_by_pathogen,Fungal_pathogen
Tomato__Tomato_mosaic_virus,caused_by_pathogen,Tobamovirus
Tomato__Tomato_mosaic_virus,caused_by_pathogen,Positive_strand_RNA_virus
Tomato__Tomato_YellowLeaf__Curl_Virus,caused_by_pathogen,Begomovirus
Tomato__Tomato_YellowLeaf__Curl_Virus,caused_by_pathogen,Single_stranded_DNA_virus
Tomato_bacterial_spot,caused_by_pathogen,Xanthomonas_vesicatoria
Tomato_Bacterial_spot,caused_by_pathogen,Xanthomonas_vesicatoria
Tomato_Bacterial_spot,caused_by_pathogen,Gram_negative_bacteria
Tomato_early_blight,caused_by_pathogen,Alternaria_solani
Tomato_early_blight,caused_by_pathogen,Fungal_pathogen
Tomato_Early_blight,caused_by_pathogen,Alternaria_solani
Tomato_Early_blight,caused_by_pathogen,Fungal_pathogen
Tomato_healthy,caused_by_pathogen,None
Tomato_late_blight,caused_by_pathogen,Phytophthora_infestans
Tomato_late_blight,caused_by_pathogen,Oomycete_pathogen
Tomato_Late_blight,caused_by_pathogen,Phytophthora_infestans
Tomato_Late_blight,caused_by_pathogen,Oomycete_pathogen
Tomato_leaf_mold,caused_by_pathogen,Passalora_fulva
Tomato_leaf_mold,caused_by_pathogen,Fungal_pathogen
Tomato_Leaf_Mold,caused_by_pathogen,Passalora_fulva
Tomato_Leaf_Mold,caused_by_pathogen,Fungal_pathogen
